t,f,df
4.701161477588975686e+02,1.000134348869323730e+00,2.776166656985878944e-04
4.701365819623679272e+02,9.997337460517883301e-01,2.776411129161715508e-04
4.701570161659328733e+02,1.000319719314575195e+00,2.776257460936903954e-04
4.701774503695851308e+02,1.000265598297119141e+00,2.776587207335978746e-04
4.701978845733028720e+02,1.000013470649719238e+00,2.775466709863394499e-04
4.702183187771224766e+02,1.000296592712402344e+00,2.775928587652742863e-04
4.702387529810293927e+02,9.996702671051025391e-01,2.776091278064996004e-04
4.702591871850090683e+02,9.995214343070983887e-01,2.776146575342863798e-04
4.702796212890825700e+02,1.000122189521789551e+00,2.776019391603767872e-04
4.703000555932376301e+02,9.999402165412902832e-01,2.776472247205674648e-04
4.703204897974719643e+02,9.998374581336975098e-01,2.776158798951655626e-04
4.703409240018008859e+02,1.000188350677490234e+00,2.776666951831430197e-04
4.703613582062171190e+02,9.994922280311584473e-01,2.776043256744742393e-04
4.703817924107061117e+02,9.999368190765380859e-01,2.776167239062488079e-04
4.704022265152743785e+02,1.000043392181396484e+00,2.775817993097007275e-04
4.704226608199460316e+02,9.994595050811767578e-01,2.776040055323392153e-04
4.704430950246896828e+02,9.997092485427856445e-01,2.776279288809746504e-04
4.704635291295198840e+02,1.000002503395080566e+00,2.776528999675065279e-04
4.704839634344461956e+02,9.997567534446716309e-01,2.775905886664986610e-04
4.705043976394299534e+02,9.997537732124328613e-01,2.776012697722762823e-04
4.705248317445148132e+02,9.995374679565429688e-01,2.776248729787766933e-04
4.705452660496885073e+02,9.998963475227355957e-01,2.776473411358892918e-04
4.705657002549414756e+02,9.994131326675415039e-01,2.776152978185564280e-04
4.706065686656947946e+02,1.000484824180603027e+00,2.776817127596586943e-04
4.706270028711951454e+02,9.994144439697265625e-01,2.776210312731564045e-04
4.706474370767828077e+02,9.999511837959289551e-01,2.776506880763918161e-04
4.706678712824577815e+02,9.996336698532104492e-01,2.776346227619796991e-04
4.706883054882055148e+02,1.000147700309753418e+00,2.776776964310556650e-04
4.707087396940405597e+02,9.996892809867858887e-01,2.776401815935969353e-04
4.707291737999548786e+02,9.997636675834655762e-01,2.776528708636760712e-04
4.707496081059580320e+02,1.000097155570983887e+00,2.776687906589359045e-04
4.707700423120477353e+02,1.000161886215209961e+00,2.776220208033919334e-04
4.707904764182094368e+02,1.000100612640380859e+00,2.776299661491066217e-04
4.708109107244672487e+02,9.999915957450866699e-01,2.776370383799076080e-04
4.708313449308043346e+02,1.000048160552978516e+00,2.776110777631402016e-04
4.708517791372287320e+02,1.000033497810363770e+00,2.776367764454334974e-04
4.708722133437258890e+02,9.999321103096008301e-01,2.776261535473167896e-04
4.708926475503030815e+02,1.000269412994384766e+00,2.775817411020398140e-04
4.709130817569748615e+02,1.000465631484985352e+00,2.776511828415095806e-04
4.709335159637194010e+02,9.998846054077148438e-01,2.775778120849281549e-04
4.709539501705512521e+02,9.998618960380554199e-01,2.775873290374875069e-04
4.709948185844550608e+02,1.000486373901367188e+00,2.775823522824794054e-04
4.710152527915415703e+02,1.000575304031372070e+00,2.776044420897960663e-04
4.710356869987008395e+02,9.998287558555603027e-01,2.776244364213198423e-04
4.710765554132667603e+02,1.000200033187866211e+00,2.776113979052752256e-04
4.710969896206734120e+02,1.000194907188415527e+00,2.776120090857148170e-04
4.711174238281600992e+02,9.998242855072021484e-01,2.776251640170812607e-04
4.711378580357340979e+02,9.997948408126831055e-01,2.776161127258092165e-04
4.711582921433873707e+02,9.999470114707946777e-01,2.776159672066569328e-04
4.711787264511149260e+02,9.998882412910461426e-01,2.776376786641776562e-04
4.711991606589290313e+02,9.998160600662231445e-01,2.776341862045228481e-04
4.712195947668296867e+02,1.000399947166442871e+00,2.776279288809746504e-04
4.712400290748046245e+02,1.000177741050720215e+00,2.776486217044293880e-04
4.712604632828733884e+02,9.999842047691345215e-01,2.776437322609126568e-04
4.712808974910003599e+02,1.000922322273254395e+00,2.776967012323439121e-04
4.713013316992291948e+02,1.000340580940246582e+00,2.776363398879766464e-04
4.713217659075380652e+02,1.000144362449645996e+00,2.776206820271909237e-04
4.713422001159269712e+02,1.000222802162170410e+00,2.776419860310852528e-04
4.713626343243813608e+02,9.998790621757507324e-01,2.775813918560743332e-04
4.713830685329303378e+02,1.000389099121093750e+00,2.776257460936903954e-04
4.714035027415520744e+02,1.000620961189270020e+00,2.776833425741642714e-04
4.714239370502691600e+02,9.999954700469970703e-01,2.776542387437075377e-04
4.714443711590574821e+02,1.000347375869750977e+00,2.776213514152914286e-04
4.714648053679266013e+02,9.997262358665466309e-01,2.775613393168896437e-04
4.714852396768765175e+02,9.996299147605895996e-01,2.776030160021036863e-04
4.715056737859122222e+02,1.000284671783447266e+00,2.776329056359827518e-04
4.715261079950141720e+02,9.998767971992492676e-01,2.776282199192792177e-04
4.715465423042187467e+02,1.000352859497070312e+00,2.776109904516488314e-04
4.715669764134800062e+02,1.000255703926086426e+00,2.776521141640841961e-04
4.715874106228366145e+02,1.000540256500244141e+00,2.776497276499867439e-04
4.716078449322740198e+02,1.000099778175354004e+00,2.775795583147555590e-04
4.716282790417826618e+02,1.000230312347412109e+00,2.776095352601259947e-04
4.716487132513648248e+02,1.000444412231445312e+00,2.776203036773949862e-04
